record_index,pc1,pc2,dataset_source
28455,-3.3337977,-15.855643,instagram_data2
10453,-3.9359639,7.698851,instagram_data
21457,-6.579743,-10.530661,instagram_data2
26868,14.666202,21.043886,instagram_data2
17953,-3.9012222,5.4244504,instagram_data
24109,-8.413091,-3.058418,instagram_data2
17932,3.2944567,4.7127004,instagram_data
17465,-1.2735081,-8.850917,instagram_data
5670,7.502762,-3.8149118,instagram_data
4868,-1.2370764,-6.1913004,instagram_data
27439,-7.949146,1.7863852,instagram_data2
6850,7.6681705,9.677808,instagram_data
13016,-13.605029,-2.5071177,instagram_data
17387,-14.453724,-1.4102101,instagram_data
11499,-11.108249,-4.852826,instagram_data
21251,-5.7279673,1.5489708,instagram_data2
12538,20.330019,6.49314,instagram_data
10613,4.8330665,-10.348137,instagram_data
22986,3.7829113,-5.791892,instagram_data2
21418,-4.358213,-7.7930565,instagram_data2
1173,0.5126795,2.1525722,instagram_data
11801,-2.6144435,8.41236,instagram_data
9753,3.228149,-6.8756137,instagram_data
4583,17.093298,-5.8027225,instagram_data
26564,-4.295445,0.4450828,instagram_data2
25729,-13.392971,-3.129867,instagram_data2
13494,1.7062634,-8.821216,instagram_data
17713,-2.2191026,3.8006752,instagram_data
23059,-10.257717,5.1489253,instagram_data2
23682,4.5394535,-10.79203,instagram_data2
20727,-3.5082726,2.5730057,instagram_data2
18761,10.841418,-11.405786,instagram_data
30473,2.8530827,-5.2042966,instagram_data2
33658,-5.2791815,2.895509,instagram_data2
10104,-0.8510903,-3.3417609,instagram_data
34448,0.8823583,5.0455465,instagram_data2
134,9.24338,1.3745269,instagram_data
19748,0.2545851,9.742786,instagram_data
674,-10.648622,-3.8745272,instagram_data
34623,-11.062064,-3.93612,instagram_data2
4413,0.650553,-3.3081443,instagram_data
8646,-5.6908937,-4.6432643,instagram_data
24460,-3.5044415,-4.1277666,instagram_data2
27294,-7.4347315,0.048500076,instagram_data2
1403,4.620115,0.5291491,instagram_data
16472,-9.268918,1.5135127,instagram_data
31540,-9.139992,4.1298404,instagram_data2
17080,-1.264999,2.3902457,instagram_data
30227,-2.9673066,-0.40724814,instagram_data2
32628,-2.5729604,8.982595,instagram_data2
27644,-6.3079476,-3.753853,instagram_data2
19951,8.49684,-7.174026,instagram_data
19429,6.3326297,9.095579,instagram_data
30649,-8.07843,-1.0394714,instagram_data2
31907,3.8824854,-4.0105505,instagram_data2
966,-0.3475222,9.997917,instagram_data
1433,23.711664,-21.96621,instagram_data
5162,14.782511,10.563075,instagram_data
17473,-6.2761283,-6.8863883,instagram_data
12710,17.922611,27.218506,instagram_data
31044,-11.034018,-1.2298042,instagram_data2
4971,17.756557,-3.7337985,instagram_data
33339,2.873115,7.59859,instagram_data2
6561,14.033055,6.294605,instagram_data
18516,5.000508,-5.401606,instagram_data
29171,2.7528088,-8.958655,instagram_data2
17431,-7.6303988,0.5623539,instagram_data
4481,-9.227186,-2.9101734,instagram_data
33826,4.3497386,5.6667852,instagram_data2
13679,-12.496139,-0.43810868,instagram_data
33424,5.63102,1.5102879,instagram_data2
8246,-8.527424,-3.2082512,instagram_data
34510,6.6649714,-1.0523067,instagram_data2
28904,-2.3603542,0.62633294,instagram_data2
1473,12.062473,-11.513301,instagram_data
23900,1.428837,4.4037814,instagram_data2
7263,-8.56688,-1.6899332,instagram_data
4018,-12.789641,-1.0651963,instagram_data
447,4.3727803,4.122398,instagram_data
26297,-6.5697327,3.056142,instagram_data2
15408,2.8029373,3.7048976,instagram_data
5376,-7.421758,4.0508413,instagram_data
27324,-12.442579,-1.5354757,instagram_data2
13840,23.566442,17.273417,instagram_data
1139,3.7934613,0.5027913,instagram_data
21498,-6.4949718,-8.089279,instagram_data2
34866,-4.298948,0.058675334,instagram_data2
7343,1.3387334,-12.253187,instagram_data
3062,-6.4094505,2.6871948,instagram_data
21121,8.352609,-2.9996989,instagram_data2
